celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,week1_avg_judge_score,week2_avg_judge_score,week3_avg_judge_score,week4_avg_judge_score,week5_avg_judge_score,week6_avg_judge_score,week7_avg_judge_score,week8_avg_judge_score,week9_avg_judge_score,week10_avg_judge_score,week11_avg_judge_score,week1_all_judge_score,week2_all_judge_score,week3_all_judge_score,week4_all_judge_score,week5_all_judge_score,week6_all_judge_score,week7_all_judge_score,week8_all_judge_score,week9_all_judge_score,week10_all_judge_score,week11_all_judge_score,week1_rank_judge_score,week2_rank_judge_score,week3_rank_judge_score,week4_rank_judge_score,week5_rank_judge_score,week6_rank_judge_score,week7_rank_judge_score,week8_rank_judge_score,week9_rank_judge_score,week10_rank_judge_score,week11_rank_judge_score,week1_percent_judge_score,week2_percent_judge_score,week3_percent_judge_score,week4_percent_judge_score,week5_percent_judge_score,week6_percent_judge_score,week7_percent_judge_score,week8_percent_judge_score,week9_percent_judge_score,week10_percent_judge_score,week11_percent_judge_score
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,7,7,6,NA,8,9,9,NA,9,8,7,NA,7,8,6,NA,9,9,9,NA,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.666666666666667,8.666666666666666,8,7,9,9,NA,NA,NA,NA,NA,20,26,24,21,27,27,NA,NA,NA,NA,NA,1,1,2,3,1,2,NA,NA,NA,NA,NA,0.1834862385321101,0.21487603305785125,0.22641509433962265,0.22826086956521738,0.3698630136986301,0.4954128440366973,NA,NA,NA,NA,NA
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,5,4,4,NA,5,6,6,NA,6,7,8,NA,9,9,8,NA,8.5,7.5,7.5,NA,8.5,9.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.333333333333333,5.666666666666667,7,8.666666666666666,7.833333333333333,9.166666666666666,NA,NA,NA,NA,NA,13,17,21,26,23.5,27.5,NA,NA,NA,NA,NA,6,5,4,1,2,1,NA,NA,NA,NA,NA,0.11926605504587157,0.14049586776859505,0.19811320754716982,0.2826086956521739,0.3219178082191781,0.5045871559633027,NA,NA,NA,NA,NA
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,5,7,6,NA,5,4,5,NA,5,4,4,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4.666666666666667,4.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,18,14,13,NA,NA,NA,NA,NA,NA,NA,NA,4,6,5,NA,NA,NA,NA,NA,NA,NA,NA,0.1651376146788991,0.11570247933884298,0.12264150943396226,NA,NA,NA,NA,NA,NA,NA,NA
Rachel Hunter,Jonathan Roberts,Model,NA,New Zealand,35,1,Eliminated Week 4,4,7,6,7,NA,8,8,8,NA,8,9,9,NA,7,9,9,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.666666666666667,8,8.666666666666666,8.333333333333334,NA,NA,NA,NA,NA,NA,NA,20,24,26,25,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,0.1834862385321101,0.19834710743801653,0.24528301886792453,0.2717391304347826,NA,NA,NA,NA,NA,NA,NA
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,7,7,6,NA,8,7,6,NA,7,7,8,NA,7,6,7,NA,8.5,7,7,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.666666666666667,7,7.333333333333333,6.666666666666667,7.5,NA,NA,NA,NA,NA,NA,20,21,22,20,22.5,NA,NA,NA,NA,NA,NA,1,3,3,4,3,NA,NA,NA,NA,NA,NA,0.1834862385321101,0.17355371900826447,0.20754716981132076,0.21739130434782608,0.3082191780821918,NA,NA,NA,NA,NA,NA
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,6,6,6,NA,6,7,6,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1651376146788991,0.15702479338842976,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,7,8,8,NA,5,6,6,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.666666666666667,5.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11794871794871795,0.085,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,6,7,7,NA,7,8,7,NA,9,8,9,NA,9,8,8,NA,7,7,8,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.666666666666667,7.333333333333333,8.666666666666666,8.333333333333334,7.333333333333333,NA,NA,NA,NA,NA,NA,20,22,26,25,22,NA,NA,NA,NA,NA,NA,6,5,3,4,6,NA,NA,NA,NA,NA,NA,0.10256410256410256,0.11,0.14285714285714285,0.15822784810126583,0.1456953642384106,NA,NA,NA,NA,NA,NA
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,7,5,6,NA,8,7,7,NA,7,7,8,NA,7,7,7,NA,8,8,8,NA,8,7,8,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7.333333333333333,7.333333333333333,7,8,7.666666666666667,NA,NA,NA,NA,NA,18,22,22,21,24,23,NA,NA,NA,NA,NA,8,5,5,6,4,4,NA,NA,NA,NA,NA,0.09230769230769231,0.11,0.12087912087912088,0.13291139240506328,0.15894039735099338,0.17293233082706766,NA,NA,NA,NA,NA
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,5,7,7,NA,6,7,7,NA,8,8,9,NA,9,9,8,NA,7,9,9,NA,9,9,9,NA,8.5,9,9,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.333333333333333,6.666666666666667,8.333333333333334,8.666666666666666,8.333333333333334,9,8.833333333333334,NA,NA,NA,NA,19,20,25,26,25,27,26.5,NA,NA,NA,NA,7,7,4,2,3,3,3,NA,NA,NA,NA,0.09743589743589744,0.1,0.13736263736263737,0.16455696202531644,0.16556291390728478,0.20300751879699247,0.25980392156862747,NA,NA,NA,NA
