  Run    Initial       1       2       3       4       5
-----  ---------  ------  ------  ------  ------  ------
    1        100  132.97  161.10  214.00  269.35  365.41
    2        100  151.51  228.31  355.05  563.61  824.86
    3        100  143.50  211.82  298.95  414.19  597.27
    4        100  146.39  205.39  267.41  406.60  624.71
    5        100  144.36  179.54  277.32  412.02  527.11
    6        100  146.52  195.01  274.54  425.34  635.53
    7        100  147.92  203.93  280.62  416.11  592.12
    8        100  147.09  204.20  292.59  386.61  607.52
    9        100  140.44  208.49  297.16  405.88  581.76
   10        100  137.72  204.65  289.75  373.55  524.57
   11        100  133.05  193.56  255.68  356.49  492.94
   12        100  124.47  168.44  249.45  361.39  509.57
   13        100  144.19  199.39  298.86  411.36  574.58
   14        100  147.06  217.05  326.39  425.17  629.98
   15        100  134.10  186.62  256.55  335.09  488.35
   16        100  144.04  172.95  235.30  311.89  414.99
   17        100  143.42  202.94  284.67  464.69  686.21
   18        100  147.39  213.34  323.82  470.92  658.63
   19        100  139.54  192.71  276.74  400.30  563.84
   20        100  127.41  150.80  221.85  332.76  485.82
