  Run    Initial       1       2  3             4             5               Cat #
-----  ---------  ------  ------  ------------  ------------  ------------  -------
    1        100  138.21  193.87  269.44        356.03        513.46              0
    2        100  134.57  195.71  290.56        290.65 (CAT)  413.01              1
    3        100  142.54  193.42  261.38        349.93        434.13              0
    4        100  151.10  190.45  247.03        346.06        469.34              0
    5        100  159.91  224.80  293.94        430.81        613.94              0
    6        100  147.84  221.06  316.25        418.77        571.58              0
    7        100  124.89  168.72  223.91        323.07        459.79              0
    8        100  145.39  186.12  277.84        394.22        571.38              0
    9        100  150.96  223.09  329.67        466.79        617.89              0
   10        100  142.02  203.46  288.28        389.12        543.65              0
   11        100  129.70  186.38  276.03        373.50        495.55              0
   12        100  131.73  188.45  276.28        392.20        560.00              0
   13        100  139.58  199.35  260.81        323.72        434.87              0
   14        100  141.27  185.42  260.84        372.40        515.68              0
   15        100  139.17  197.03  293.69        415.53        590.13              0
   16        100  141.91  194.30  281.25        403.98        521.03 (CAT)        1
   17        100  135.42  178.01  278.58        344.26 (CAT)  509.86              1
   18        100  127.41  182.12  264.99        379.26        562.73              0
   19        100  146.81  215.00  312.65        430.20        660.05              0
   20        100  137.36  202.72  206.08 (CAT)  274.94        352.12              1
